DATE,Reconstructed CPI
01-11-1931,14.7
01-12-1931,14.6
01-01-1932,14.3
01-02-1932,14.1
01-03-1932,14
01-04-1932,13.9
01-05-1932,13.7
01-06-1932,13.6
01-07-1932,13.6
01-08-1932,13.5
01-09-1932,13.4
01-10-1932,13.3
01-11-1932,13.2
01-12-1932,13.1
01-01-1933,12.9
01-02-1933,12.7
01-03-1933,12.6
01-04-1933,12.6
01-05-1933,12.6
01-06-1933,12.7
01-07-1933,13.1
01-08-1933,13.2
01-09-1933,13.2
01-10-1933,13.2
01-11-1933,13.2
01-12-1933,13.2
01-01-1934,13.2
01-02-1934,13.3
01-03-1934,13.3
01-04-1934,13.3
01-05-1934,13.3
01-06-1934,13.4
01-07-1934,13.4
01-08-1934,13.4
01-09-1934,13.6
01-10-1934,13.5
01-11-1934,13.5
01-12-1934,13.4
01-01-1935,13.6
01-02-1935,13.7
01-03-1935,13.7
01-04-1935,13.8
01-05-1935,13.8
01-06-1935,13.7
01-07-1935,13.7
01-08-1935,13.7
01-09-1935,13.7
01-10-1935,13.7
01-11-1935,13.8
01-12-1935,13.8
01-01-1936,13.8
01-02-1936,13.8
01-03-1936,13.7
01-04-1936,13.7
01-05-1936,13.7
01-06-1936,13.8
01-07-1936,13.9
01-08-1936,14
01-09-1936,14
01-10-1936,14
01-11-1936,14
01-12-1936,14
01-01-1937,14.1
01-02-1937,14.1
01-03-1937,14.2
01-04-1937,14.3
01-05-1937,14.4
01-06-1937,14.4
01-07-1937,14.5
01-08-1937,14.5
01-09-1937,14.6
01-10-1937,14.6
01-11-1937,14.5
01-12-1937,14.4
01-01-1938,14.2
01-02-1938,14.1
01-03-1938,14.1
01-04-1938,14.2
01-05-1938,14.1
01-06-1938,14.1
01-07-1938,14.1
01-08-1938,14.1
01-09-1938,14.1
01-10-1938,14
01-11-1938,14
01-12-1938,14
01-01-1939,14
01-02-1939,13.9
01-03-1939,13.9
01-04-1939,13.8
01-05-1939,13.8
01-06-1939,13.8
01-07-1939,13.8
01-08-1939,13.8
01-09-1939,14.1
01-10-1939,14
01-11-1939,14
01-12-1939,14
01-01-1940,13.9
01-02-1940,14
01-03-1940,14
01-04-1940,14
01-05-1940,14
01-06-1940,14.1
01-07-1940,14
01-08-1940,14
01-09-1940,14
01-10-1940,14
01-11-1940,14
01-12-1940,14.1
01-01-1941,14.1
01-02-1941,14.1
01-03-1941,14.2
01-04-1941,14.3
01-05-1941,14.4
01-06-1941,14.7
01-07-1941,14.7
01-08-1941,14.9
01-09-1941,15.1
01-10-1941,15.3
01-11-1941,15.4
01-12-1941,15.5
01-01-1942,15.7
01-02-1942,15.8
01-03-1942,16
01-04-1942,16.1
01-05-1942,16.3
01-06-1942,16.3
01-07-1942,16.4
01-08-1942,16.5
01-09-1942,16.5
01-10-1942,16.7
01-11-1942,16.8
01-12-1942,16.9
01-01-1943,16.9
01-02-1943,16.9
01-03-1943,17.2
01-04-1943,17.4
01-05-1943,17.5
01-06-1943,17.5
01-07-1943,17.4
01-08-1943,17.3
01-09-1943,17.4
01-10-1943,17.4
01-11-1943,17.4
01-12-1943,17.4
01-01-1944,17.4
01-02-1944,17.4
01-03-1944,17.4
01-04-1944,17.5
01-05-1944,17.5
01-06-1944,17.6
01-07-1944,17.7
01-08-1944,17.7
01-09-1944,17.7
01-10-1944,17.7
01-11-1944,17.7
01-12-1944,17.8
01-01-1945,17.8
01-02-1945,17.8
01-03-1945,17.8
01-04-1945,17.8
01-05-1945,17.9
01-06-1945,18.1
01-07-1945,18.1
01-08-1945,18.1
01-09-1945,18.1
01-10-1945,18.1
01-11-1945,18.1
01-12-1945,18.2
01-01-1946,18.2
01-02-1946,18.1
01-03-1946,18.3
01-04-1946,18.4
01-05-1946,18.5
01-06-1946,18.7
01-07-1946,19.8
01-08-1946,20.2
01-09-1946,20.4
01-10-1946,20.8
01-11-1946,21.3
01-12-1946,21.5
01-01-1947,21.5
01-02-1947,21.5
01-03-1947,21.9
01-04-1947,21.9
01-05-1947,21.9
01-06-1947,22
01-07-1947,22.2
01-08-1947,22.5
01-09-1947,23
01-10-1947,23
01-11-1947,23.1
01-12-1947,23.4
01-01-1948,23.7
01-02-1948,23.5
01-03-1948,23.4
01-04-1948,23.8
01-05-1948,23.9
01-06-1948,24.1
01-07-1948,24.4
01-08-1948,24.5
01-09-1948,24.5
01-10-1948,24.4
01-11-1948,24.2
01-12-1948,24.1
01-01-1949,24
01-02-1949,23.8
01-03-1949,23.8
01-04-1949,23.9
01-05-1949,23.8
01-06-1949,23.9
01-07-1949,23.7
01-08-1949,23.8
01-09-1949,23.9
01-10-1949,23.7
01-11-1949,23.8
01-12-1949,23.6
01-01-1950,23.5
01-02-1950,23.5
01-03-1950,23.6
01-04-1950,23.6
01-05-1950,23.7
01-06-1950,23.8
01-07-1950,24.1
01-08-1950,24.3
01-09-1950,24.4
01-10-1950,24.6
01-11-1950,24.7
01-12-1950,25
01-01-1951,25.4
01-02-1951,25.7
01-03-1951,25.8
01-04-1951,25.8
01-05-1951,25.9
01-06-1951,25.9
01-07-1951,25.9
